dataset,encoder,target,head,T,k_shot,run,seed_type,seed,n_train,test_acc,baseline_acc,delta_acc,final_train_loss,checkpoint_epoch,checkpoint_train_loss
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,5shot,1,subset,1,500,0.0525052510201931,0.1659165918827057,-0.11341134086251259,1.7969370393753052,199,1.7969370393753052
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,5shot,1,subset,1,500,0.07950795441865921,0.1659165918827057,-0.08640863746404648,1.8540548524856568,198,1.8506214685440063
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,5shot,2,subset,2,500,0.09330932796001434,0.1644164472818374,-0.07110711932182306,29.996210372924804,181,29.33790757751465
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,5shot,2,subset,2,500,0.1197119727730751,0.1644164472818374,-0.044704474508762304,29.996210372924804,181,29.33790757751465
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,5shot,2,subset,2,500,0.05040504038333893,0.1644164472818374,-0.11401140689849848,1.8744259672164918,199,1.8744259672164918
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,5shot,2,subset,2,500,0.07770776748657227,0.1644164472818374,-0.08670867979526514,1.8470205764770509,199,1.8470205764770509
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,10shot,0,subset,0,1000,0.12181217968463898,0.2019201964139938,-0.08010801672935483,27.496297973632814,193,25.80198812866211
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,10shot,0,subset,0,1000,0.13471347093582153,0.2019201964139938,-0.06720672547817227,27.496297973632814,193,25.80198812866211
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,10shot,0,subset,0,1000,0.11101110279560089,0.2019201964139938,-0.09090909361839292,1.3542739896774292,199,1.3542739896774292
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,10shot,0,subset,0,1000,0.17521752417087555,0.2019201964139938,-0.02670267224311826,1.3111539640426635,199,1.3111539640426635
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,10shot,1,subset,1,1000,0.11191119253635406,0.2004200369119644,-0.08850884437561032,28.785159225463868,190,25.658910629272462
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,10shot,1,subset,1,1000,0.11791179329156876,0.2004200369119644,-0.08250824362039563,28.785159225463868,190,25.658910629272462
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,10shot,1,subset,1,1000,0.1062106192111969,0.2004200369119644,-0.09420941770076749,1.3399215517044067,199,1.3399215517044067
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,10shot,1,subset,1,1000,0.14731472730636597,0.2004200369119644,-0.05310530960559842,1.3246452894210816,198,1.315249605178833
