head,class_idx,class_name,t,cosine,l2
fm_rollout,1,737-300,0.16666666666666666,0.6367765665054321,0.7222114205360413
fm_rollout,1,737-300,0.25,0.7251389026641846,0.619301438331604
fm_rollout,1,737-300,0.3333333333333333,0.7847279906272888,0.5411961078643799
fm_rollout,1,737-300,0.4166666666666667,0.8295068740844727,0.478792667388916
fm_rollout,1,737-300,0.5,0.8651689291000366,0.4276180565357208
fm_rollout,1,737-300,0.5833333333333334,0.8938658237457275,0.38524386286735535
fm_rollout,1,737-300,0.6666666666666666,0.9166940450668335,0.35008400678634644
fm_rollout,1,737-300,0.75,0.9345591068267822,0.32091203331947327
fm_rollout,1,737-300,0.8333333333333334,0.9483541250228882,0.29669657349586487
fm_rollout,1,737-300,0.9166666666666666,0.9589238166809082,0.27655476331710815
fm_rollout,1,737-300,1.0,0.9670045375823975,0.2597436308860779
fm_rollout,2,737-700,0.0,0.28303539752960205,1.5895380973815918
fm_rollout,2,737-700,0.08333333333333333,0.37635982036590576,1.3086531162261963
fm_rollout,2,737-700,0.16666666666666666,0.4528692364692688,1.0959993600845337
fm_rollout,2,737-700,0.25,0.512418806552887,0.9324079751968384
fm_rollout,2,737-700,0.3333333333333333,0.5700154900550842,0.8042280077934265
fm_rollout,2,737-700,0.4166666666666667,0.6329416036605835,0.7013301253318787
fm_rollout,2,737-700,0.5,0.6999464631080627,0.6165142059326172
fm_rollout,2,737-700,0.5833333333333334,0.7651245594024658,0.5451313257217407
fm_rollout,2,737-700,0.6666666666666666,0.8223897814750671,0.48448267579078674
fm_rollout,2,737-700,0.75,0.8684477806091309,0.4330798089504242
fm_rollout,2,737-700,0.8333333333333334,0.9031452536582947,0.3899833858013153
fm_rollout,2,737-700,0.9166666666666666,0.9282286167144775,0.35435959696769714
fm_rollout,2,737-700,1.0,0.9460065364837646,0.3252858519554138
fm_rollout,3,767-300,0.0,0.023869134485721588,3.4423277378082275
fm_rollout,3,767-300,0.08333333333333333,0.1895236074924469,2.458303928375244
fm_rollout,3,767-300,0.16666666666666666,0.35527530312538147,1.8064615726470947
fm_rollout,3,767-300,0.25,0.4863377511501312,1.372580885887146
fm_rollout,3,767-300,0.3333333333333333,0.5855716466903687,1.0806972980499268
fm_rollout,3,767-300,0.4166666666666667,0.6632797718048096,0.8787475228309631
fm_rollout,3,767-300,0.5,0.7273404002189636,0.7330989837646484
fm_rollout,3,767-300,0.5833333333333334,0.7819394469261169,0.6238938570022583
